GF low,GF high,O2,depth,stop_depth,min_duration
10,10,21,14,3,24
10,10,21,14,6,24
10,10,21,14,9,48
10,10,21,27,3,24
10,10,21,27,6,24
10,10,21,27,9,24
10,10,21,27,12,24
10,10,21,27,15,24
10,10,21,39,3,24
10,10,21,39,6,24
10,10,21,39,9,24
10,10,21,39,12,24
10,10,21,39,15,24
10,10,21,52,3,24
10,10,21,52,6,24
10,10,21,52,9,24
10,10,21,52,12,24
10,10,21,52,15,24
10,10,21,65,3,24
10,10,21,65,6,24
10,10,21,65,9,24
10,10,21,65,12,24
10,10,21,65,15,24
10,10,25,14,3,24
10,10,25,14,6,24
10,10,25,14,9,120
10,10,25,27,3,24
10,10,25,27,6,24
10,10,25,27,9,24
10,10,25,27,12,24
10,10,25,27,15,24
10,10,25,39,3,24
10,10,25,39,6,24
10,10,25,39,9,24
10,10,25,39,12,24
10,10,25,39,15,24
10,10,25,52,3,24
10,10,25,52,6,24
10,10,25,52,9,24
10,10,25,52,12,24
10,10,25,52,15,24
10,10,25,65,3,24
10,10,25,65,6,24
10,10,25,65,9,24
10,10,25,65,12,24
10,10,25,65,15,24
10,10,29,14,3,24
10,10,29,14,6,24
10,10,29,27,3,24
10,10,29,27,6,24
10,10,29,27,9,24
10,10,29,27,12,24
10,10,29,27,15,48
10,10,29,39,3,24
10,10,29,39,6,24
10,10,29,39,9,24
10,10,29,39,12,24
10,10,29,39,15,24
10,10,29,52,3,24
10,10,29,52,6,24
10,10,29,52,9,24
10,10,29,52,12,24
10,10,29,52,15,24
10,10,29,65,3,24
10,10,29,65,6,24
10,10,29,65,9,24
10,10,29,65,12,24
10,10,29,65,15,24
10,10,32,14,3,24
10,10,32,14,6,24
10,10,32,27,3,24
10,10,32,27,6,24
10,10,32,27,9,24
10,10,32,27,12,24
10,10,32,27,15,72
10,10,32,39,3,24
10,10,32,39,6,24
10,10,32,39,9,24
10,10,32,39,12,24
10,10,32,39,15,24
10,10,32,52,3,24
10,10,32,52,6,24
10,10,32,52,9,24
10,10,32,52,12,24
10,10,32,52,15,24
10,10,32,65,3,24
10,10,32,65,6,24
10,10,32,65,9,24
10,10,32,65,12,24
10,10,32,65,15,24
10,10,36,14,3,24
10,10,36,14,6,72
10,10,36,27,3,24
10,10,36,27,6,24
10,10,36,27,9,24
10,10,36,27,12,24
10,10,36,39,3,24
10,10,36,39,6,24
10,10,36,39,9,24
10,10,36,39,12,24
10,10,36,39,15,24
10,10,36,52,3,24
10,10,36,52,6,24
10,10,36,52,9,24
10,10,36,52,12,24
10,10,36,52,15,24
10,10,36,65,3,24
10,10,36,65,6,24
10,10,36,65,9,24
10,10,36,65,12,24
10,10,36,65,15,24
10,10,40,14,3,24
10,10,40,27,3,24
10,10,40,27,6,24
10,10,40,27,9,24
10,10,40,27,12,48
10,10,40,39,3,24
10,10,40,39,6,24
10,10,40,39,9,24
10,10,40,39,12,24
10,10,40,39,15,24
10,10,40,52,3,24
10,10,40,52,6,24
10,10,40,52,9,24
10,10,40,52,12,24
10,10,40,52,15,24
10,10,40,65,3,24
10,10,40,65,6,24
10,10,40,65,9,24
10,10,40,65,12,24
10,10,40,65,15,24
10,28,21,14,3,24
10,28,21,14,6,24
10,28,21,14,9,48
10,28,21,27,3,24
10,28,21,27,6,24
10,28,21,27,9,24
10,28,21,27,12,24
10,28,21,27,15,24
10,28,21,39,3,24
10,28,21,39,6,24
10,28,21,39,9,24
10,28,21,39,12,24
10,28,21,39,15,24
10,28,21,52,3,24
10,28,21,52,6,24
10,28,21,52,9,24
10,28,21,52,12,24
10,28,21,52,15,24
10,28,21,65,3,24
10,28,21,65,6,24
10,28,21,65,9,24
10,28,21,65,12,24
10,28,21,65,15,24
10,28,25,14,3,24
10,28,25,14,6,24
10,28,25,14,9,120
10,28,25,27,3,24
10,28,25,27,6,24
10,28,25,27,9,24
10,28,25,27,12,24
10,28,25,27,15,24
10,28,25,39,3,24
10,28,25,39,6,24
10,28,25,39,9,24
10,28,25,39,12,24
10,28,25,39,15,24
10,28,25,52,3,24
10,28,25,52,6,24
10,28,25,52,9,24
10,28,25,52,12,24
10,28,25,52,15,24
10,28,25,65,3,24
10,28,25,65,6,24
10,28,25,65,9,24
10,28,25,65,12,24
10,28,25,65,15,24
10,28,29,14,3,24
10,28,29,14,6,24
10,28,29,27,3,24
10,28,29,27,6,24
10,28,29,27,9,24
10,28,29,27,12,24
10,28,29,27,15,48
10,28,29,39,3,24
10,28,29,39,6,24
10,28,29,39,9,24
10,28,29,39,12,24
10,28,29,39,15,24
10,28,29,52,3,24
10,28,29,52,6,24
10,28,29,52,9,24
10,28,29,52,12,24
10,28,29,52,15,24
10,28,29,65,3,24
10,28,29,65,6,24
10,28,29,65,9,24
10,28,29,65,12,24
10,28,29,65,15,24
10,28,32,14,3,48
10,28,32,14,6,24
10,28,32,27,3,24
10,28,32,27,6,24
10,28,32,27,9,24
10,28,32,27,12,24
10,28,32,27,15,72
10,28,32,39,3,24
10,28,32,39,6,24
10,28,32,39,9,24
10,28,32,39,12,24
10,28,32,39,15,24
10,28,32,52,3,24
10,28,32,52,6,24
10,28,32,52,9,24
10,28,32,52,12,24
10,28,32,52,15,24
10,28,32,65,3,24
10,28,32,65,6,24
10,28,32,65,9,24
10,28,32,65,12,24
10,28,32,65,15,24
10,28,36,14,3,48
10,28,36,14,6,72
10,28,36,27,3,24
10,28,36,27,6,24
10,28,36,27,9,24
10,28,36,27,12,24
10,28,36,39,3,24
10,28,36,39,6,24
10,28,36,39,9,24
10,28,36,39,12,24
10,28,36,39,15,24
10,28,36,52,3,24
10,28,36,52,6,24
10,28,36,52,9,24
10,28,36,52,12,24
10,28,36,52,15,24
10,28,36,65,3,24
10,28,36,65,6,24
10,28,36,65,9,24
10,28,36,65,12,24
10,28,36,65,15,24
10,28,40,14,3,72
10,28,40,27,3,24
10,28,40,27,6,24
10,28,40,27,9,24
10,28,40,27,12,48
10,28,40,39,3,24
10,28,40,39,6,24
10,28,40,39,9,24
10,28,40,39,12,24
10,28,40,39,15,24
10,28,40,52,3,24
10,28,40,52,6,24
10,28,40,52,9,24
10,28,40,52,12,24
10,28,40,52,15,24
10,28,40,65,3,24
10,28,40,65,6,24
10,28,40,65,9,24
10,28,40,65,12,24
10,28,40,65,15,24
10,46,21,14,3,48
10,46,21,14,6,24
10,46,21,14,9,48
10,46,21,27,3,24
10,46,21,27,6,24
10,46,21,27,9,24
10,46,21,27,12,24
10,46,21,27,15,24
10,46,21,39,3,24
10,46,21,39,6,24
10,46,21,39,9,24
10,46,21,39,12,24
10,46,21,39,15,24
10,46,21,52,3,24
10,46,21,52,6,24
10,46,21,52,9,24
10,46,21,52,12,24
10,46,21,52,15,24
10,46,21,65,3,24
10,46,21,65,6,24
10,46,21,65,9,24
10,46,21,65,12,24
10,46,21,65,15,24
10,46,25,14,3,48
10,46,25,14,6,24
10,46,25,14,9,120
10,46,25,27,3,24
10,46,25,27,6,24
10,46,25,27,9,24
10,46,25,27,12,48
10,46,25,27,15,24
10,46,25,39,3,24
10,46,25,39,6,24
10,46,25,39,9,24
10,46,25,39,12,24
10,46,25,39,15,24
10,46,25,52,3,24
10,46,25,52,6,24
10,46,25,52,9,24
10,46,25,52,12,24
10,46,25,52,15,24
10,46,25,65,3,24
10,46,25,65,6,24
10,46,25,65,9,24
10,46,25,65,12,24
10,46,25,65,15,24
10,46,29,14,3,48
10,46,29,14,6,24
10,46,29,27,3,24
10,46,29,27,6,24
10,46,29,27,9,24
10,46,29,27,12,24
10,46,29,27,15,48
10,46,29,39,3,24
10,46,29,39,6,24
10,46,29,39,9,24
10,46,29,39,12,24
10,46,29,39,15,24
10,46,29,52,3,24
10,46,29,52,6,24
10,46,29,52,9,24
10,46,29,52,12,24
10,46,29,52,15,24
10,46,29,65,3,24
10,46,29,65,6,24
10,46,29,65,9,24
10,46,29,65,12,24
10,46,29,65,15,24
10,46,32,14,3,72
10,46,32,14,6,24
10,46,32,27,3,24
10,46,32,27,6,24
10,46,32,27,9,24
10,46,32,27,12,24
10,46,32,27,15,72
10,46,32,39,3,24
10,46,32,39,6,24
10,46,32,39,9,24
10,46,32,39,12,24
10,46,32,39,15,24
10,46,32,52,3,24
10,46,32,52,6,24
10,46,32,52,9,24
10,46,32,52,12,24
10,46,32,52,15,24
10,46,32,65,3,24
10,46,32,65,6,24
10,46,32,65,9,24
10,46,32,65,12,24
10,46,32,65,15,24
10,46,36,14,3,96
10,46,36,14,6,72
10,46,36,27,3,24
10,46,36,27,6,24
10,46,36,27,9,48
10,46,36,27,12,24
10,46,36,39,3,24
10,46,36,39,6,24
10,46,36,39,9,24
10,46,36,39,12,24
10,46,36,39,15,48
10,46,36,52,3,24
10,46,36,52,6,24
10,46,36,52,9,24
10,46,36,52,12,24
10,46,36,52,15,24
10,46,36,65,3,24
10,46,36,65,6,24
10,46,36,65,9,24
10,46,36,65,12,24
10,46,36,65,15,24
10,46,40,14,3,120
10,46,40,27,3,24
10,46,40,27,6,24
10,46,40,27,9,24
10,46,40,27,12,48
10,46,40,39,3,24
10,46,40,39,6,24
10,46,40,39,9,24
10,46,40,39,12,24
10,46,40,39,15,24
10,46,40,52,3,24
10,46,40,52,6,24
10,46,40,52,9,24
10,46,40,52,12,24
10,46,40,52,15,24
10,46,40,65,3,24
10,46,40,65,6,24
10,46,40,65,9,24
10,46,40,65,12,24
10,46,40,65,15,24
10,64,21,14,3,72
10,64,21,14,6,24
10,64,21,14,9,48
10,64,21,27,3,24
10,64,21,27,6,24
10,64,21,27,9,24
10,64,21,27,12,48
10,64,21,27,15,24
10,64,21,39,3,24
10,64,21,39,6,24
10,64,21,39,9,24
10,64,21,39,12,24
10,64,21,39,15,24
10,64,21,52,3,24
10,64,21,52,6,24
10,64,21,52,9,24
10,64,21,52,12,24
10,64,21,52,15,24
10,64,21,65,3,24
10,64,21,65,6,24
10,64,21,65,9,24
10,64,21,65,12,24
10,64,21,65,15,24
10,64,25,14,3,72
10,64,25,14,6,24
10,64,25,14,9,120
10,64,25,27,3,24
10,64,25,27,6,24
10,64,25,27,9,48
10,64,25,27,12,48
10,64,25,27,15,24
10,64,25,39,3,24
10,64,25,39,6,24
10,64,25,39,9,24
10,64,25,39,12,24
10,64,25,39,15,24
10,64,25,52,3,24
10,64,25,52,6,24
10,64,25,52,9,24
10,64,25,52,12,24
10,64,25,52,15,24
10,64,25,65,3,24
10,64,25,65,6,24
10,64,25,65,9,24
10,64,25,65,12,24
10,64,25,65,15,24
10,64,29,14,3,96
10,64,29,14,6,24
10,64,29,27,3,24
10,64,29,27,6,24
10,64,29,27,9,48
10,64,29,27,12,24
10,64,29,27,15,48
10,64,29,39,3,24
10,64,29,39,6,24
10,64,29,39,9,24
10,64,29,39,12,24
10,64,29,39,15,48
10,64,29,52,3,24
10,64,29,52,6,24
10,64,29,52,9,24
10,64,29,52,12,24
10,64,29,52,15,24
10,64,29,65,3,24
10,64,29,65,6,24
10,64,29,65,9,24
10,64,29,65,12,24
10,64,29,65,15,24
10,64,32,14,3,120
10,64,32,14,6,24
10,64,32,27,3,24
10,64,32,27,6,48
10,64,32,27,9,48
10,64,32,27,12,24
10,64,32,27,15,72
10,64,32,39,3,24
10,64,32,39,6,24
10,64,32,39,9,24
10,64,32,39,12,24
10,64,32,39,15,48
10,64,32,52,3,24
10,64,32,52,6,24
10,64,32,52,9,24
10,64,32,52,12,24
10,64,32,52,15,24
10,64,32,65,3,24
10,64,32,65,6,24
10,64,32,65,9,24
10,64,32,65,12,24
10,64,32,65,15,24
10,64,36,14,6,72
10,64,36,27,3,48
10,64,36,27,6,48
10,64,36,27,9,72
10,64,36,27,12,24
10,64,36,39,3,24
10,64,36,39,6,24
10,64,36,39,9,24
10,64,36,39,12,48
10,64,36,39,15,48
10,64,36,52,3,24
10,64,36,52,6,24
10,64,36,52,9,24
10,64,36,52,12,24
10,64,36,52,15,24
10,64,36,65,3,24
10,64,36,65,6,24
10,64,36,65,9,24
10,64,36,65,12,24
10,64,36,65,15,24
10,64,40,27,3,48
10,64,40,27,6,48
10,64,40,27,9,24
10,64,40,27,12,48
10,64,40,39,3,24
10,64,40,39,6,24
10,64,40,39,9,24
10,64,40,39,12,48
10,64,40,39,15,24
10,64,40,52,3,24
10,64,40,52,6,24
10,64,40,52,9,24
10,64,40,52,12,24
10,64,40,52,15,24
10,64,40,65,3,24
10,64,40,65,6,24
10,64,40,65,9,24
10,64,40,65,12,24
10,64,40,65,15,24
10,82,21,14,3,96
10,82,21,14,6,24
10,82,21,14,9,48
10,82,21,27,3,24
10,82,21,27,6,48
10,82,21,27,9,48
10,82,21,27,12,48
10,82,21,27,15,24
10,82,21,39,3,24
10,82,21,39,6,24
10,82,21,39,9,24
10,82,21,39,12,24
10,82,21,39,15,48
10,82,21,52,3,24
10,82,21,52,6,24
10,82,21,52,9,24
10,82,21,52,12,24
10,82,21,52,15,24
10,82,21,65,3,24
10,82,21,65,6,24
10,82,21,65,9,24
10,82,21,65,12,24
10,82,21,65,15,24
10,82,25,14,3,120
10,82,25,14,6,24
10,82,25,14,9,120
10,82,25,27,3,24
10,82,25,27,6,48
10,82,25,27,9,48
10,82,25,27,12,48
10,82,25,27,15,24
10,82,25,39,3,24
10,82,25,39,6,24
10,82,25,39,9,24
10,82,25,39,12,24
10,82,25,39,15,48
10,82,25,52,3,24
10,82,25,52,6,24
10,82,25,52,9,24
10,82,25,52,12,24
10,82,25,52,15,24
10,82,25,65,3,24
10,82,25,65,6,24
10,82,25,65,9,24
10,82,25,65,12,24
10,82,25,65,15,24
10,82,29,14,6,24
10,82,29,27,3,48
10,82,29,27,6,48
10,82,29,27,9,72
10,82,29,27,12,24
10,82,29,27,15,48
10,82,29,39,3,24
10,82,29,39,6,24
10,82,29,39,9,24
10,82,29,39,12,48
10,82,29,39,15,48
10,82,29,52,3,24
10,82,29,52,6,24
10,82,29,52,9,24
10,82,29,52,12,24
10,82,29,52,15,24
10,82,29,65,3,24
10,82,29,65,6,24
10,82,29,65,9,24
10,82,29,65,12,24
10,82,29,65,15,24
10,82,32,14,6,24
10,82,32,27,3,48
10,82,32,27,6,48
10,82,32,27,9,72
10,82,32,27,12,24
10,82,32,27,15,72
10,82,32,39,3,24
10,82,32,39,6,24
10,82,32,39,9,24
10,82,32,39,12,48
10,82,32,39,15,48
10,82,32,52,3,24
10,82,32,52,6,24
10,82,32,52,9,24
10,82,32,52,12,24
10,82,32,52,15,24
10,82,32,65,3,24
10,82,32,65,6,24
10,82,32,65,9,24
10,82,32,65,12,24
10,82,32,65,15,24
10,82,36,14,6,72
10,82,36,27,3,48
10,82,36,27,6,72
10,82,36,27,9,72
10,82,36,27,12,24
10,82,36,39,3,24
10,82,36,39,6,24
10,82,36,39,9,48
10,82,36,39,12,48
10,82,36,39,15,48
10,82,36,52,3,24
10,82,36,52,6,24
10,82,36,52,9,24
10,82,36,52,12,24
10,82,36,52,15,48
10,82,36,65,3,24
10,82,36,65,6,24
10,82,36,65,9,24
10,82,36,65,12,24
10,82,36,65,15,24
10,82,40,27,3,48
10,82,40,27,6,72
10,82,40,27,9,24
10,82,40,27,12,48
10,82,40,39,3,24
10,82,40,39,6,48
10,82,40,39,9,48
10,82,40,39,12,72
10,82,40,39,15,24
10,82,40,52,3,24
10,82,40,52,6,24
10,82,40,52,9,24
10,82,40,52,12,48
10,82,40,52,15,48
10,82,40,65,3,24
10,82,40,65,6,24
10,82,40,65,9,24
10,82,40,65,12,24
10,82,40,65,15,24
10,100,21,14,3,120
10,100,21,14,6,24
10,100,21,14,9,48
10,100,21,27,3,48
10,100,21,27,6,48
10,100,21,27,9,48
10,100,21,27,12,72
10,100,21,27,15,24
10,100,21,39,3,24
10,100,21,39,6,24
10,100,21,39,9,24
10,100,21,39,12,48
10,100,21,39,15,48
10,100,21,52,3,24
10,100,21,52,6,24
10,100,21,52,9,24
10,100,21,52,12,24
10,100,21,52,15,24
10,100,21,65,3,24
10,100,21,65,6,24
10,100,21,65,9,24
10,100,21,65,12,24
10,100,21,65,15,24
10,100,25,14,6,24
10,100,25,14,9,120
10,100,25,27,3,48
10,100,25,27,6,48
10,100,25,27,9,72
10,100,25,27,12,72
10,100,25,27,15,24
10,100,25,39,3,24
10,100,25,39,6,24
10,100,25,39,9,48
10,100,25,39,12,48
10,100,25,39,15,48
10,100,25,52,3,24
10,100,25,52,6,24
10,100,25,52,9,24
10,100,25,52,12,24
10,100,25,52,15,24
10,100,25,65,3,24
10,100,25,65,6,24
10,100,25,65,9,24
10,100,25,65,12,24
10,100,25,65,15,24
10,100,29,14,6,24
10,100,29,27,3,48
10,100,29,27,6,72
10,100,29,27,9,72
10,100,29,27,12,24
10,100,29,27,15,48
10,100,29,39,3,24
10,100,29,39,6,24
10,100,29,39,9,48
10,100,29,39,12,48
10,100,29,39,15,48
10,100,29,52,3,24
10,100,29,52,6,24
10,100,29,52,9,24
10,100,29,52,12,24
10,100,29,52,15,48
10,100,29,65,3,24
10,100,29,65,6,24
10,100,29,65,9,24
10,100,29,65,12,24
10,100,29,65,15,24
10,100,32,14,6,24
10,100,32,27,3,48
10,100,32,27,6,72
10,100,32,27,9,96
10,100,32,27,12,24
10,100,32,27,15,72
10,100,32,39,3,24
10,100,32,39,6,48
10,100,32,39,9,48
10,100,32,39,12,48
10,100,32,39,15,72
10,100,32,52,3,24
10,100,32,52,6,24
10,100,32,52,9,24
10,100,32,52,12,48
10,100,32,52,15,48
10,100,32,65,3,24
10,100,32,65,6,24
10,100,32,65,9,24
10,100,32,65,12,24
10,100,32,65,15,24
10,100,36,14,6,72
10,100,36,27,3,72
10,100,36,27,6,72
10,100,36,27,9,96
10,100,36,27,12,24
10,100,36,39,3,48
10,100,36,39,6,48
10,100,36,39,9,48
10,100,36,39,12,48
10,100,36,39,15,96
10,100,36,52,3,24
10,100,36,52,6,24
10,100,36,52,9,24
10,100,36,52,12,48
10,100,36,52,15,48
10,100,36,65,3,24
10,100,36,65,6,24
10,100,36,65,9,24
10,100,36,65,12,24
10,100,36,65,15,24
10,100,40,27,3,72
10,100,40,27,6,96
10,100,40,27,9,24
10,100,40,27,12,48
10,100,40,39,3,48
10,100,40,39,6,48
10,100,40,39,9,72
10,100,40,39,12,72
10,100,40,39,15,24
10,100,40,52,3,24
10,100,40,52,6,24
10,100,40,52,9,48
10,100,40,52,12,48
10,100,40,52,15,48
10,100,40,65,3,24
10,100,40,65,6,24
10,100,40,65,9,24
10,100,40,65,12,24
10,100,40,65,15,48
28,10,21,14,3,24
28,10,21,14,6,48
28,10,21,27,3,24
28,10,21,27,6,24
28,10,21,27,9,24
28,10,21,27,12,24
28,10,21,27,15,48
28,10,21,39,3,24
28,10,21,39,6,24
28,10,21,39,9,24
28,10,21,39,12,24
28,10,21,39,15,24
28,10,21,52,3,24
28,10,21,52,6,24
28,10,21,52,9,24
28,10,21,52,12,24
28,10,21,52,15,24
28,10,21,65,3,24
28,10,21,65,6,24
28,10,21,65,9,24
28,10,21,65,12,24
28,10,21,65,15,24
28,10,25,14,3,24
28,10,25,14,6,72
28,10,25,27,3,24
28,10,25,27,6,24
28,10,25,27,9,24
28,10,25,27,12,48
28,10,25,27,15,96
28,10,25,39,3,24
28,10,25,39,6,24
28,10,25,39,9,24
28,10,25,39,12,24
28,10,25,39,15,24
28,10,25,52,3,24
28,10,25,52,6,24
28,10,25,52,9,24
28,10,25,52,12,24
28,10,25,52,15,24
28,10,25,65,3,24
28,10,25,65,6,24
28,10,25,65,9,24
28,10,25,65,12,24
28,10,25,65,15,24
28,10,29,14,3,24
28,10,29,14,6,96
28,10,29,27,3,24
28,10,29,27,6,24
28,10,29,27,9,24
28,10,29,27,12,48
28,10,29,39,3,24
28,10,29,39,6,24
28,10,29,39,9,24
28,10,29,39,12,24
28,10,29,39,15,24
28,10,29,52,3,24
28,10,29,52,6,24
28,10,29,52,9,24
28,10,29,52,12,24
28,10,29,52,15,24
28,10,29,65,3,24
28,10,29,65,6,24
28,10,29,65,9,24
28,10,29,65,12,24
28,10,29,65,15,24
28,10,32,14,3,24
28,10,32,27,3,24
28,10,32,27,6,24
28,10,32,27,9,24
28,10,32,27,12,72
28,10,32,39,3,24
28,10,32,39,6,24
28,10,32,39,9,24
28,10,32,39,12,24
28,10,32,39,15,24
28,10,32,52,3,24
28,10,32,52,6,24
28,10,32,52,9,24
28,10,32,52,12,24
28,10,32,52,15,24
28,10,32,65,3,24
28,10,32,65,6,24
28,10,32,65,9,24
28,10,32,65,12,24
28,10,32,65,15,24
28,10,36,14,3,24
28,10,36,27,3,24
28,10,36,27,6,24
28,10,36,27,9,48
28,10,36,27,12,120
28,10,36,39,3,24
28,10,36,39,6,24
28,10,36,39,9,24
28,10,36,39,12,24
28,10,36,39,15,48
28,10,36,52,3,24
28,10,36,52,6,24
28,10,36,52,9,24
28,10,36,52,12,24
28,10,36,52,15,24
28,10,36,65,3,24
28,10,36,65,6,24
28,10,36,65,9,24
28,10,36,65,12,24
28,10,36,65,15,24
28,10,40,14,3,24
28,10,40,27,3,24
28,10,40,27,6,24
28,10,40,27,9,48
28,10,40,39,3,24
28,10,40,39,6,24
28,10,40,39,9,24
28,10,40,39,12,24
28,10,40,39,15,72
28,10,40,52,3,24
28,10,40,52,6,24
28,10,40,52,9,24
28,10,40,52,12,24
28,10,40,52,15,24
28,10,40,65,3,24
28,10,40,65,6,24
28,10,40,65,9,24
28,10,40,65,12,24
28,10,40,65,15,24
28,28,21,14,3,24
28,28,21,14,6,48
28,28,21,27,3,24
28,28,21,27,6,24
28,28,21,27,9,24
28,28,21,27,12,24
28,28,21,27,15,48
28,28,21,39,3,24
28,28,21,39,6,24
28,28,21,39,9,24
28,28,21,39,12,24
28,28,21,39,15,24
28,28,21,52,3,24
28,28,21,52,6,24
28,28,21,52,9,24
28,28,21,52,12,24
28,28,21,52,15,24
28,28,21,65,3,24
28,28,21,65,6,24
28,28,21,65,9,24
28,28,21,65,12,24
28,28,21,65,15,24
28,28,25,14,3,24
28,28,25,14,6,72
28,28,25,27,3,24
28,28,25,27,6,24
28,28,25,27,9,24
28,28,25,27,12,48
28,28,25,27,15,96
28,28,25,39,3,24
28,28,25,39,6,24
28,28,25,39,9,24
28,28,25,39,12,24
28,28,25,39,15,24
28,28,25,52,3,24
28,28,25,52,6,24
28,28,25,52,9,24
28,28,25,52,12,24
28,28,25,52,15,24
28,28,25,65,3,24
28,28,25,65,6,24
28,28,25,65,9,24
28,28,25,65,12,24
28,28,25,65,15,24
28,28,29,14,3,24
28,28,29,14,6,96
28,28,29,27,3,24
28,28,29,27,6,24
28,28,29,27,9,24
28,28,29,27,12,48
28,28,29,39,3,24
28,28,29,39,6,24
28,28,29,39,9,24
28,28,29,39,12,24
28,28,29,39,15,24
28,28,29,52,3,24
28,28,29,52,6,24
28,28,29,52,9,24
28,28,29,52,12,24
28,28,29,52,15,24
28,28,29,65,3,24
28,28,29,65,6,24
28,28,29,65,9,24
28,28,29,65,12,24
28,28,29,65,15,24
28,28,32,14,3,24
28,28,32,27,3,24
28,28,32,27,6,24
28,28,32,27,9,24
28,28,32,27,12,72
28,28,32,39,3,24
28,28,32,39,6,24
28,28,32,39,9,24
28,28,32,39,12,24
28,28,32,39,15,24
28,28,32,52,3,24
28,28,32,52,6,24
28,28,32,52,9,24
28,28,32,52,12,24
28,28,32,52,15,24
28,28,32,65,3,24
28,28,32,65,6,24
28,28,32,65,9,24
28,28,32,65,12,24
28,28,32,65,15,24
28,28,36,14,3,48
28,28,36,27,3,24
28,28,36,27,6,24
28,28,36,27,9,48
28,28,36,27,12,120
28,28,36,39,3,24
28,28,36,39,6,24
28,28,36,39,9,24
28,28,36,39,12,24
28,28,36,39,15,48
28,28,36,52,3,24
28,28,36,52,6,24
28,28,36,52,9,24
28,28,36,52,12,24
28,28,36,52,15,24
28,28,36,65,3,24
28,28,36,65,6,24
28,28,36,65,9,24
28,28,36,65,12,24
28,28,36,65,15,24
28,28,40,14,3,72
28,28,40,27,3,24
28,28,40,27,6,24
28,28,40,27,9,48
28,28,40,39,3,24
28,28,40,39,6,24
28,28,40,39,9,24
28,28,40,39,12,24
28,28,40,39,15,72
28,28,40,52,3,24
28,28,40,52,6,24
28,28,40,52,9,24
28,28,40,52,12,24
28,28,40,52,15,24
28,28,40,65,3,24
28,28,40,65,6,24
28,28,40,65,9,24
28,28,40,65,12,24
28,28,40,65,15,24
28,46,21,14,3,48
28,46,21,14,6,48
28,46,21,27,3,24
28,46,21,27,6,24
28,46,21,27,9,24
28,46,21,27,12,24
28,46,21,27,15,48
28,46,21,39,3,24
28,46,21,39,6,24
28,46,21,39,9,24
28,46,21,39,12,24
28,46,21,39,15,24
28,46,21,52,3,24
28,46,21,52,6,24
28,46,21,52,9,24
28,46,21,52,12,24
28,46,21,52,15,24
28,46,21,65,3,24
28,46,21,65,6,24
28,46,21,65,9,24
28,46,21,65,12,24
28,46,21,65,15,24
28,46,25,14,3,48
28,46,25,14,6,72
